Index,Filename,Exposure,Comment,Timestamp
0,0006_20160721_163256_525,0.3,,2024/10/29 13:53
1,0006_20160721_170707_736,0.3,,2024/10/29 13:53
2,0006_20160721_172953_515,0.5,,2024/10/29 13:54
3,0006_20160721_175239_909,0.2,,2024/10/29 13:55
4,0006_20160721_175246_335,0.7,,2024/10/29 13:56
5,0006_20160721_175907_041,0.4,,2024/10/29 13:57
6,0006_20160721_181503_256,0.5,,2024/10/29 13:59
7,0006_20160721_181525_062,0.7,,2024/10/29 14:00
8,0006_20160721_183353_778,-0.2,,2024/10/29 14:01
9,0006_20160721_190736_527,1.5,,2024/10/29 14:02
10,0006_20160721_190959_035,-1,,2024/10/29 14:03
11,0006_20160721_191300_295,0.5,,2024/10/29 14:04
12,0006_20160721_191305_635,0.4,,2024/10/29 14:04
13,0006_20160721_193344_227,0.8,,2024/10/29 14:05
14,0006_20160721_220618_556,-0.5,,2024/10/29 14:06
15,0006_20160722_095205_079,-1,,2024/10/29 14:07
16,0006_20160722_095223_970,-0.5,,2024/10/29 14:07
17,0006_20160722_100126_028,0.5,,2024/10/29 14:08
18,0006_20160722_100951_201,1,,2024/10/29 14:09
19,0006_20160722_100954_713,0.4,,2024/10/29 14:09
20,0006_20160722_101432_847,0.4,,2024/10/29 14:10
21,0006_20160722_101752_239,-1.3,,2024/10/29 14:11
22,0006_20160722_115012_899,0.4,,2024/10/29 14:12
23,0006_20160722_115101_603,0.5,,2024/10/29 14:12
24,0006_20160722_115157_431,-0.5,,2024/10/29 14:13
25,0006_20160722_121322_386,0.5,,2024/10/29 14:13
26,0006_20160722_121326_807,0.5,,2024/10/29 14:14
27,0006_20160722_133718_986,0.2,,2024/10/29 14:14
28,0006_20160722_133733_011,0.2,,2024/10/29 14:15
29,0006_20160722_155508_423,-0.5,,2024/10/29 14:15
30,0006_20160722_155512_252,-0.4,,2024/10/29 14:16
31,0006_20160722_161419_755,0.2,,2024/10/29 14:17
32,0006_20160722_162019_934,0.5,,2024/10/29 14:17
33,0006_20160722_163141_450,-0.6,,2024/10/29 14:18
34,0006_20160722_163758_882,-0.3,,2024/10/29 14:19
35,0006_20160722_163801_510,-0.5,,2024/10/29 14:19
36,0006_20160722_183126_963,0.8,,2024/10/29 14:20
37,0006_20160722_183131_669,1,,2024/10/29 14:20
38,0006_20160723_102651_219,0.4,,2024/10/29 14:21
39,0006_20160723_102759_851,0.4,,2024/10/29 14:21
40,0006_20160723_110036_978,0.5,,2024/10/29 14:22
41,0006_20160723_111809_582,0.5,,2024/10/29 14:22
42,0006_20160723_111812_700,0.7,,2024/10/29 14:23
43,0006_20160723_111834_202,0.5,,2024/10/29 14:23
44,0006_20160723_111931_589,0.2,,2024/10/29 14:24
45,0006_20160723_112054_405,0.7,,2024/10/29 14:24
46,0006_20160723_112111_708,0.5,,2024/10/29 14:25
47,0006_20160723_114724_534,0.2,,2024/10/29 14:26
48,0006_20160723_152642_719,0.8,,2024/10/29 14:27
49,0006_20160723_152646_337,1,,2024/10/29 14:27
50,0006_20160723_183435_564,0.3,,2024/10/29 14:27
51,0006_20160723_203435_899,1.4,,2024/10/29 14:29
52,0006_20160723_203440_560,1.2,,2024/10/29 14:29
53,0006_20160723_204811_299,0.5,,2024/10/29 14:30
54,0006_20160724_095820_954,0.7,,2024/10/29 14:30
55,0006_20160724_095825_050,0.7,,2024/10/29 14:30
56,0006_20160726_105940_076,0.5,,2024/10/29 14:31
57,0006_20160726_105942_902,0.5,,2024/10/29 14:31
58,0006_20160726_110055_860,0.6,,2024/10/29 14:32
59,0006_20160726_110531_321,0.5,,2024/10/29 14:32
60,0006_20160726_110609_666,0.2,,2024/10/29 14:33
61,0006_20160726_111428_832,0.4,,2024/10/29 14:33
62,0006_20160726_111446_725,1,,2024/10/29 14:34
63,0006_20160726_111556_434,0.3,,2024/10/29 14:34
64,0006_20160726_113546_286,0.4,,2024/10/29 14:35
65,0006_20160726_113607_220,0.8,,2024/10/29 14:35
66,0006_20160726_114331_772,0.2,,2024/10/29 14:36
67,0006_20160726_115433_333,-0.2,,2024/10/29 14:36
68,0006_20160726_115818_929,0.2,,2024/10/29 14:37
69,0006_20160726_125051_611,0.4,,2024/10/29 14:37
70,0006_20160726_125112_104,0.3,,2024/10/29 14:38
71,0006_20160726_125130_000,0.4,,2024/10/29 14:38
72,0006_20160726_125140_261,0.4,,2024/10/29 14:39
73,0006_20160726_142655_865,-0.6,,2024/10/29 14:39
74,0006_20160726_152436_393,-1.5,,2024/10/29 14:40
75,0006_20160726_152445_631,-1,,2024/10/29 14:41
76,0006_20160726_154029_092,0.5,,2024/10/29 14:41
77,0006_20160726_182226_719,0.4,,2024/10/29 14:42
78,0006_20160726_183355_068,0.8,,2024/10/29 14:42
79,0006_20160726_184035_061,0.5,,2024/10/29 14:42
80,0006_20160726_184136_041,0.3,,2024/10/29 14:43
81,0006_20160726_184510_775,0.5,,2024/10/29 14:43
82,0006_20160726_184513_697,0.7,,2024/10/29 14:44
83,0006_20160726_184949_203,0.4,,2024/10/29 14:44
84,0006_20160726_185528_801,-0.9,,2024/10/29 14:44
85,0006_20160726_185600_481,0.6,,2024/10/29 14:45
